목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
CJ제일제당/공주공장,127.14236972079,36.3721577318323,nan nan,1.0,월요일
CU/광주서영대점,126.87034545505485,35.175519524902505,nan nan,1.0,월요일
CU/논산리벤하임점,127.10338915672276,36.18185445149236,nan nan,1.0,월요일
CU/부여무지개점,126.866518074498,36.273056635196,nan nan,2.0,월요일
CU/부여홍산점,126.759459434374,36.2137279021245,nan nan,1.0,월요일
DC킹마트/부여점,126.9254712599208,36.283586276883,nan nan,3.0,월요일
강가모텔,126.88972511983388,36.27449947506016,nan nan,5.0,월요일
강경해물칼국수,127.015429390544,36.1574582359664,nan nan,4.0,월요일
골프존파크/탄벌라임점,127.24202758620704,37.41376931521462,nan nan,1.0,월요일
곱창군/죽동점,127.339074189247,36.3720173213136,nan nan,1.0,월요일
공산성,127.126296598501,36.4632408446971,nan nan,9.0,월요일
관저다목적체육관,127.33658684221,36.29301709552187,nan nan,1.0,월요일
구드래한옥민박,126.909174902961,36.2846165663163,nan nan,2.0,월요일
구름산추어탕/본점,126.871684920024,37.4571565094444,nan nan,2.0,월요일
국립공주대학교/공주신관캠퍼스,127.14059828594706,36.46948342838592,nan nan,4.0,월요일
군산어린이치과의원,126.717337382133,35.9637343519994,nan nan,1.0,월요일
궁전불가마사우나,126.926027370136,36.2835819763205,nan nan,1.0,월요일
기흥산업,126.908112361452,36.2759438573548,nan nan,2.0,월요일
나루터식당,126.909112189869,36.2856649779233,nan nan,6.0,월요일
노루페인트/대성페인트,126.892858241381,35.1507920243726,nan nan,1.0,월요일
논산시민공원,127.106091458876,36.1949529030969,nan nan,2.0,월요일
뉴코아아울렛/동수원점,127.03426931637932,37.266259296307865,nan nan,1.0,월요일
대전애견경매장,127.429686520067,36.3271176979541,nan nan,1.0,월요일
대전중앙시장,127.4331992453394,36.32955171258172,nan nan,2.0,월요일
대천간장게장,126.60663527543372,36.35158532454552,nan nan,1.0,월요일
대천항,126.5123114185944,36.32755927722483,nan nan,1.0,월요일
대천항수산시장,126.50604972654692,36.32657020865504,nan nan,1.0,월요일
더리터/부여점,126.90814963574326,36.27800191890837,nan nan,3.0,월요일
동탄2서영아너시티,127.10286124846805,37.21175857442479,nan nan,1.0,월요일
두리두리식당,126.70413028548,36.3029952080575,nan nan,2.0,월요일
뚜레쥬르/충남부여점,126.91241749097162,36.281026635792784,nan nan,2.0,월요일
롯데리아/신부여점,126.91080652830796,36.28041558529159,nan nan,3.0,월요일
롯데리아/청양점,126.80322485226048,36.45282714056066,nan nan,1.0,월요일
롯데스카이힐/부여컨트리클럽,126.90941756212476,36.30399622468398,nan nan,41.0,월요일
림스카스텔라,127.090578361465,36.1971925220671,nan nan,1.0,월요일
마트킹/구성점,127.10650435417789,37.30285708650448,nan nan,1.0,월요일
면사부,126.894474466529,36.301690848392,nan nan,1.0,월요일
무령왕릉,127.113795417994,36.4622909758361,nan nan,3.0,월요일
무지개탕후루,127.13162750690444,37.51561023862652,nan nan,1.0,월요일
문경종합온천,128.10916049265,36.7299960210692,nan nan,1.0,월요일
미우한우,126.860755495271,36.2719718244715,nan nan,1.0,월요일
바이아크,126.910723266148,36.2729164389242,nan nan,5.0,월요일
백제나루영농조합법인,127.135952469542,36.4906435551797,nan nan,1.0,월요일
부여금사리성당,126.798205689793,36.2496962395036,nan nan,1.0,월요일
부여농협농산물공판장,126.931415777539,36.2838597526004,nan nan,1.0,월요일
부여다사랑병원,126.8698339455,36.22886612616559,nan nan,1.0,월요일
부여왕릉원,126.94300230625488,36.2774297254593,nan nan,14.0,월요일
산수파김치장어,126.565749277661,36.7024187061447,nan nan,1.0,월요일
삼정식당,126.9195557254954,36.28333196862744,nan nan,16.0,월요일
서동한우정육점,126.8610780690494,36.27930651019286,nan nan,2.0,월요일
석장리박물관,127.189672100164,36.4475271757421,nan nan,1.0,월요일
선원3리마을회관,127.545548695901,36.0909009699277,nan nan,1.0,월요일
설빙/충남부여점,126.91242578876592,36.28194000435259,nan nan,5.0,월요일
성모안과의원,126.910778753472,36.2803600359081,nan nan,1.0,월요일
성주산자연휴양림,126.66542203262738,36.333784091216685,nan nan,1.0,월요일
세븐일레븐/부여롯데아울렛점,126.902112628434,36.307273588254,nan nan,2.0,월요일
세종이안과의원,127.25121024257628,36.48694835721769,nan nan,1.0,월요일
순천향대학교,126.93150466943824,36.76998575009645,nan nan,1.0,월요일
시골뚜부,126.89502331118632,36.3015433731007,nan nan,12.0,월요일
시인신동엽생가,126.909343448576,36.277475656253,nan nan,1.0,월요일
에펠제과,126.9107881,36.2807594,nan nan,4.0,월요일
옛날냉삼이야기,126.913878377853,36.2830591839307,nan nan,1.0,월요일
오문창순대국밥,127.42660293234012,36.35922857943825,nan nan,1.0,월요일
옥산성결교회,126.7311429246,36.1902965099396,nan nan,1.0,월요일
왕조걸한방병원,127.40031660406416,36.319406455353885,nan nan,1.0,월요일
우리할매떡볶이/부여점,126.91996027311984,36.28369192350354,nan nan,4.0,월요일
유생촌/대전유성점,127.405456153158,36.3776933160869,nan nan,1.0,월요일
육군훈련소,127.09935375183731,36.1156882570315,nan nan,1.0,월요일
윤대감부대찌개/부여점,126.911318110186,36.2792759150242,nan nan,2.0,월요일
율가가,126.908945536368,36.285859399292,nan nan,10.0,월요일
임천떡방앗간,126.89156119184,36.1911116697297,nan nan,2.0,월요일
잘난체돈까스,126.598638536157,36.3511658206018,nan nan,1.0,월요일
전통궁중칼국수,127.156935014286,36.4556491374507,nan nan,2.0,월요일
제로짐,126.651974167834,37.5326096722026,nan nan,1.0,월요일
직지사,128.00387271864304,36.11647994913884,nan nan,1.0,월요일
쭈삼춘천닭갈비,126.60801226892912,36.3351325798129,nan nan,1.0,월요일
커피베이/부여궁남점,126.910283816886,36.2727180718229,nan nan,1.0,월요일
컴포즈커피/광주계림점,126.92581694232038,35.157916699741364,nan nan,1.0,월요일
코월드이비인후과의원,127.488345734124,36.6545100239942,nan nan,1.0,월요일
