목적지명_통합,목적지X좌표,목적지Y좌표,방문건수,표시용행정구역,festival_period,is_weekend,요일
12월의왈츠,127.246099,36.358756,2.0,반포면,전체기간,1,Saturday
14-2동 임시주차장/정부세종청사,127.267012356123,36.4985578860361,2.0,세종특별자치시,전체기간,1,Sunday
1894스트리트,127.12341006895858,36.45880743593976,2.0,중학동,전체기간,1,Saturday
24시성심동물메디컬센터,127.34531548131154,36.35306757720548,1.0,대전광역시 유성구,전체기간,0,Thursday
24시전주명가콩나물국밥/공주점,127.13345324533223,36.46930582803515,8.0,신관동,전체기간,1,Saturday
24시전주명가콩나물국밥/나성점,127.2562844182572,36.48992490344558,1.0,세종특별자치시,전체기간,0,Tuesday
25시뼈다귀탕,127.391587186243,35.4139722171281,1.0,전라북도 남원시,전체기간,0,Wednesday
2월호텔/성서점,128.49121501216,35.8417359313652,1.0,대구광역시 달서구,전체기간,0,Wednesday
3-3커피,127.2993534613894,36.48910189598047,1.0,세종특별자치시,전체기간,1,Saturday
333라이브,127.429172117312,36.7132577650928,1.0,충청북도 청주시 청원구,전체기간,1,Sunday
3S부티크호텔,127.07440807603776,37.222948368169085,1.0,경기도 화성시,전체기간,0,Wednesday
5.5닭갈비,127.257846124286,36.5146113905638,1.0,세종특별자치시,전체기간,0,Monday
5.5닭갈비/갈마점,127.375738086447,36.3483185155227,1.0,대전광역시 서구,전체기간,0,Tuesday
505펜션앤키즈캠핑장,127.02012821520432,36.50125213368652,20.0,사곡면,전체기간,1,Saturday
60계치킨/충남공주신관점,127.136590314593,36.472922708262,1.0,신관동,전체기간,1,Saturday
70년소머리국밥,126.66819495634503,36.60145398180452,1.0,충청남도 홍성군,전체기간,1,Saturday
79네수육국밥&철판/성정점,127.1404524265022,36.82807583746471,1.0,충청남도 천안시 서북구,전체기간,1,Saturday
79대포/아산탕정점,127.05907158516,36.7970855330768,1.0,충청남도 아산시,전체기간,0,Tuesday
88양꼬치,127.28842883817808,36.47708933993307,1.0,세종특별자치시,전체기간,0,Friday
AK&/세종,127.25884617420112,36.50112975739499,3.0,세종특별자치시,전체기간,1,Saturday
AK플라자/광명,126.8828338297375,37.41866320750575,1.0,경기도 광명시,전체기간,0,Monday
AK플라자/평택,127.085529542295,36.9912561142959,1.0,경기도 평택시,전체기간,1,Saturday
BBQ/공주신월점,127.147894856217,36.4737560125455,5.0,월송동,전체기간,1,Saturday
BBQ/남산타운점,127.00611976971528,37.54755273921908,1.0,서울특별시 중구,전체기간,1,Sunday
BBQ/대전스마트시티점,127.3945698960552,36.37603737019999,1.0,대전광역시 대덕구,전체기간,1,Sunday
BBQ/대전자운대점,127.340808213884,36.4131516889565,1.0,대전광역시 유성구,전체기간,1,Sunday
BBQ/대전한밭대점,127.30389522950816,36.34216590400212,1.0,대전광역시 유성구,전체기간,1,Saturday
BBQ/세종고운점,127.23433505034365,36.52167266865738,1.0,세종특별자치시,전체기간,1,Sunday
BHC/공주대점,127.1371735925166,36.47331155619646,6.0,신관동,전체기간,0,Wednesday
BHC/옥룡점,127.1334796434089,36.45467477153064,1.0,옥룡동,전체기간,0,Friday
BRT작은미술관,127.2619010284565,36.481520226068106,1.0,세종특별자치시,전체기간,1,Sunday
CGV/김포운양,126.68412604991,37.654712776603,1.0,경기도 김포시,전체기간,0,Monday
CGV/당진,126.630199821504,36.9019828613395,1.0,충청남도 당진시,전체기간,1,Saturday
CGV/대전,127.4084298628586,36.32061362411971,2.0,대전광역시 중구,전체기간,0,Thursday
CGV/대전가수원,127.35069165147829,36.30552013310163,5.0,대전광역시 서구,전체기간,1,Sunday
CGV/대전가오,127.45802625059,36.3070243467936,3.0,대전광역시 동구,전체기간,1,Sunday
CGV/대전탄방,127.388958657255,36.3473317836401,2.0,대전광역시 서구,전체기간,1,Sunday
CGV/대전터미널,127.43749160282,36.3510642371679,1.0,대전광역시 동구,전체기간,1,Sunday
CGV/동두천,127.05833099744588,37.89718408637569,1.0,경기도 동두천시,전체기간,1,Saturday
CGV/동수원,127.03231003231716,37.26390632559984,2.0,경기도 수원시 팔달구,전체기간,1,Sunday
CGV/방학,127.043635927027,37.6653861881832,1.0,서울특별시 도봉구,전체기간,1,Saturday
CGV/아산,127.00844655246328,36.7802337415048,1.0,충청남도 아산시,전체기간,0,Monday
CGV/유성노은,127.3184252503807,36.37253644408374,4.0,대전광역시 유성구,전체기간,0,Wednesday
CGV/익산,126.973768289991,35.9580404868306,1.0,전라북도 익산시,전체기간,0,Thursday
CGV/천안터미널,127.15529060596018,36.81942296501052,1.0,충청남도 천안시 동남구,전체기간,1,Sunday
CGV/천안펜타포트,127.10176371662668,36.79855251548843,2.0,충청남도 아산시,전체기간,0,Thursday
CGV/청담씨네시티,127.037032355109,37.5229506730658,1.0,서울특별시 강남구,전체기간,1,Saturday
CJ제일제당/공주공장,127.14231292851,36.3717120574909,1.0,계룡면,전체기간,0,Tuesday
CJ제일제당/논산공장,127.11406282891,36.1378450235896,1.0,충청남도 논산시,전체기간,0,Tuesday
CJ푸드빌/음성공장,127.45879738299884,36.98362422949852,1.0,충청북도 음성군,전체기간,1,Saturday
CK뉴욕바닷가재/계양점,126.74424551242,37.5438242061734,1.0,인천광역시 계양구,전체기간,0,Tuesday
CS프라자호텔,127.14362502273173,36.828272994593526,1.0,충청남도 천안시 서북구,전체기간,1,Sunday
CU/공주검상공단점,127.07511216362605,36.43035842393694,4.0,금학동,전체기간,1,Saturday
CU/공주금성점,127.121258412058,36.4655623474279,1.0,웅진동,전체기간,1,Saturday
CU/공주대학로점,127.135673755356,36.4700341435328,1.0,신관동,전체기간,0,Friday
CU/공주동학사점,127.2524342309717,36.36182322393592,4.0,반포면,전체기간,0,Tuesday
CU/공주삼우타운점,127.14545330512742,36.47687344244338,1.0,월송동,전체기간,1,Sunday
CU/공주시청점,127.12054329007776,36.44673926246119,1.0,금학동,전체기간,0,Tuesday
CU/공주옥룡점,127.133443725425,36.4542682902645,2.0,옥룡동,전체기간,1,Saturday
CU/공주월송점,127.15497727254105,36.47528892830412,2.0,월송동,전체기간,0,Friday
CU/공주유구점,126.952497962588,36.55040406474595,3.0,유구읍,전체기간,0,Thursday
CU/공주차령휴게소점,127.123145548372,36.641653360889,5.0,정안면,전체기간,1,Sunday
CU/공주청룡점,127.14020731724588,36.49994692873693,1.0,의당면,전체기간,0,Tuesday
CU/공주탄천산업단지점,127.06340224028048,36.30138060259168,5.0,탄천면,전체기간,0,Monday
CU/공주터미널점,127.132713112866,36.4680496963496,7.0,신관동,전체기간,0,Tuesday
CU/금강하구유원지점,126.736913080448,36.019405611349,1.0,충청남도 서천군,전체기간,1,Saturday
CU/남중루센티아점,126.96305604278444,35.95011666344309,1.0,전라북도 익산시,전체기간,0,Thursday
CU/논산리벤하임점,127.10338915672276,36.18185445149236,12.0,충청남도 논산시,전체기간,0,Tuesday
CU/농공휴게소점,127.158777865965,36.4818957468615,1.0,월송동,전체기간,0,Friday
CU/다와한국영상대학교점,127.2086704689403,36.46308289892693,1.0,세종특별자치시,전체기간,0,Monday
CU/대전자운대점,127.34073793071204,36.41314197668662,1.0,대전광역시 유성구,전체기간,0,Thursday
CU/대전호반써밋3단지점,127.39353529770526,36.41464681044994,1.0,대전광역시 유성구,전체기간,1,Sunday
CU/도안5단지점,127.33618350769,36.3445396507263,1.0,대전광역시 유성구,전체기간,0,Thursday
CU/백제보점,126.94159636470854,36.31748060109558,1.0,충청남도 부여군,전체기간,1,Sunday
CU/보령명천점,126.611161875855,36.3437022412795,1.0,충청남도 보령시,전체기간,1,Saturday
CU/보령방조제점,126.5331887034986,36.43984963655095,1.0,충청남도 보령시,전체기간,1,Saturday
CU/보은삼년산성점,127.738009694967,36.4962839217636,1.0,충청북도 보은군,전체기간,0,Tuesday
CU/세종가재마을1단지점,127.243235617032,36.5016627462632,1.0,세종특별자치시,전체기간,1,Saturday
CU/세종도램마을1단지점,127.25772715609874,36.50836034329564,1.0,세종특별자치시,전체기간,0,Thursday
CU/세종새마을점,127.220729928645,36.4994166694611,2.0,세종특별자치시,전체기간,0,Thursday
CU/세종영상대점,127.212057957917,36.4595326569966,1.0,세종특별자치시,전체기간,1,Sunday
CU/세종펜타힐스점,127.30168364710762,36.48505524122053,1.0,세종특별자치시,전체기간,0,Monday
CU/신관2호점,127.129946083488,36.4707021581541,4.0,신관동,전체기간,1,Saturday
CU/연무남창점,127.030451185853,37.2951026172763,1.0,경기도 수원시 팔달구,전체기간,0,Friday
CU/오송다니엘점,127.318109819804,36.6189445554813,1.0,충청북도 청주시 흥덕구,전체기간,0,Thursday
CU/우송대서문점,127.444899669059,36.3388674372636,1.0,대전광역시 동구,전체기간,1,Sunday
