목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
CU/공주탄천산업단지점,127.06340224028048,36.30138060259168,탄천면,4.0,월요일
CU/천안천아이유쉘점,127.15006497701964,36.81804466973053,충청남도 천안시 동남구,1.0,월요일
GS25/공주금성점,127.121395646433,36.4626006971759,웅진동,2.0,월요일
GS25/청양읍내점,126.802110465423,36.4471173238308,충청남도 청양군,1.0,월요일
GS더프레시/공주신관점,127.14461736103752,36.47478365394902,월송동,6.0,월요일
OK무인텔,127.132201854903,36.4686176182057,신관동,1.0,월요일
TJB대전방송,127.394094793801,36.3753017807971,대전광역시 대덕구,1.0,월요일
가보테크,127.340940433521,35.3646072790799,전라북도 남원시,1.0,월요일
가온비즈타워,127.407261862852,36.3666424242873,대전광역시 대덕구,1.0,월요일
가톨릭꽃동네대학교,127.40090319121768,36.52239161047637,충청북도 청주시 서원구,1.0,월요일
갈릴리수양관,127.09253448205544,36.60561915472721,정안면,5.0,월요일
감탄떡볶이/공주신관점,127.14659420605548,36.473585511625,월송동,1.0,월요일
건양대학교병원,127.342630292942,36.3067114406784,대전광역시 서구,7.0,월요일
건양대학교병원/권역응급의료센터,127.34196795290045,36.306743977270784,대전광역시 서구,1.0,월요일
결성보건지소,126.544507297952,36.5263264923876,충청남도 홍성군,1.0,월요일
계룡산골프장,127.1908198824633,36.40964140486141,계룡면,3.0,월요일
계룡산묵사랑,127.14970494112332,36.4351857266916,옥룡동,2.0,월요일
계룡스파텔,127.348321815294,36.3556938882431,대전광역시 서구,5.0,월요일
고란초모텔,126.911584338998,36.2800727652441,충청남도 부여군,4.0,월요일
고릴라캠핑/세종점,127.26831810646304,36.4690627646394,세종특별자치시,3.0,월요일
고운피부과의원,127.141173229453,36.4740892686021,신관동,1.0,월요일
고창애풍천장어,127.16064392729066,36.45075870993093,옥룡동,5.0,월요일
고피자/공주대점,127.13749993413,36.4720490416654,신관동,1.0,월요일
골드리버CC,127.163393207334,36.5036971318018,의당면,3.0,월요일
골프존파크/한솔탑스크린점,127.253004116199,36.4798866960622,세종특별자치시,1.0,월요일
곰골식당,127.12054302648534,36.45184527360006,중학동,78.0,월요일
공산성입구,127.123702643839,36.4650068694618,웅진동,11.0,월요일
공주반죽동당간지주,127.12243056891565,36.45170276296395,중학동,3.0,월요일
공주북캠프,126.99140843507,36.51463932893,신풍면,1.0,월요일
공주살롱,127.1419394738474,36.47327470500667,신관동,2.0,월요일
공주시노인종합복지관,127.12194187427232,36.4523448926359,중학동,1.0,월요일
공주시농업기술센터,127.098232433029,36.493808990674,신관동,5.0,월요일
공주시보건소,127.12070298170936,36.45706331363746,중학동,12.0,월요일
공주시장애인가족지원센터,127.140007576072,36.4779009710212,신관동,1.0,월요일
공주알밤빵/본점,127.12183775857352,36.463673138629815,웅진동,3.0,월요일
공주에덴노인병원,127.127063362247,36.4754779167683,신관동,1.0,월요일
공주의료원,127.10948174217307,36.458896372675206,웅진동,35.0,월요일
공주종합신문,127.13192368215704,36.45649134999677,옥룡동,1.0,월요일
공주환경성건강센터,127.12639456013324,36.43055471497616,금학동,3.0,월요일
교촌치킨/옥룡점,127.133157035154,36.4562259393773,옥룡동,1.0,월요일
구피샵/도담점,127.258618443845,36.5145448356278,세종특별자치시,1.0,월요일
국군간호사관학교,127.3497249695195,36.39836928955841,대전광역시 유성구,1.0,월요일
군자건설공구,126.78770065712192,37.32258688055962,경기도 안산시 단원구,1.0,월요일
굽네치킨/대전원내점,127.31946566145857,36.29933631185202,대전광역시 유성구,1.0,월요일
궁전불가마사우나,126.926019444621,36.2835503495251,충청남도 부여군,1.0,월요일
금강르네상스,127.293255887301,36.4832775412255,세종특별자치시,1.0,월요일
기독교연합봉사회관,127.409751184288,36.3211498091472,대전광역시 중구,1.0,월요일
꼭끼요,127.194491440534,36.7966960839954,충청남도 천안시 동남구,1.0,월요일
나문재카페,126.373780167575,36.5853695845753,nan nan,1.0,월요일
남양화학공업,127.129339639421,36.619683686357,정안면,2.0,월요일
내고향묵집,127.2546879777189,36.39574949751163,반포면,4.0,월요일
노은어린이치과의원,127.318425675614,36.3748281264883,대전광역시 유성구,1.0,월요일
눈썹달,127.123424997742,36.4530082364158,중학동,4.0,월요일
늘푸른솔,127.046680646589,36.5864092273934,사곡면,1.0,월요일
다니야/계룡점,127.2418536343708,36.2904237186618,충청남도 계룡시,1.0,월요일
다비치안경/공주산성시장점,127.124522649818,36.4590180539537,웅진동,1.0,월요일
다이너/세종점,127.23571486550284,36.520145199244695,세종특별자치시,3.0,월요일
다이소/공주신관점,127.13277325676636,36.47148814216598,신관동,71.0,월요일
다이소/대전한밭대점,127.298056911903,36.349698233949,대전광역시 유성구,1.0,월요일
다이소/청주강서점,127.42968217732906,36.626080167663815,충청북도 청주시 흥덕구,1.0,월요일
당암포구,126.355548005085,36.6214760423577,nan nan,1.0,월요일
