목적지명,목적지X좌표,목적지Y좌표,목적지읍면동명,중분류,소분류,방문건수,방문건수구간
12월의왈츠,127.246099,36.358756,반포면,숙박,펜션,18,4
24시전주명가콩나물국밥/공주점,127.1334532,36.46930583,신관동,음식점,한식,42,4
505펜션앤키즈캠핑장,127.0201282,36.50125213,사곡면,레저/스포츠,캠프장,105,5
60계치킨/충남공주신관점,127.1365903,36.47292271,신관동,음식점,치킨,3,1
BBQ/공주신월점,127.1478949,36.47375601,신관동,음식점,치킨,6,2
BBQ/공주신월점,127.1478949,36.47375601,월송동,음식점,치킨,3,1
BHC/공주대점,127.1371736,36.47331156,신관동,음식점,치킨,9,3
BHC/옥룡점,127.1334796,36.45467477,옥룡동,음식점,치킨,3,1
CJ제일제당/공주공장,127.1423129,36.37171206,계룡면,업종별기업,음식료업,4,2
CU/공주검상공단점,127.0751122,36.43035842,금학동,대형유통점,편의점,3,1
CU/공주금성점,127.1212584,36.46556235,웅진동,대형유통점,편의점,13,3
CU/공주대학로점,127.1356738,36.47003414,신관동,대형유통점,편의점,3,1
CU/공주미도점,127.1353406,36.44928651,옥룡동,대형유통점,편의점,3,1
CU/공주차령휴게소점,127.1231455,36.64165336,정안면,대형유통점,편의점,3,1
CU/공주청룡점,127.1402073,36.49994693,의당면,대형유통점,편의점,4,2
CU/공주탄천산업단지점,127.0634022,36.3013806,탄천면,대형유통점,편의점,6,2
G7무인텔,127.2511366,36.36718543,반포면,숙박,모텔/여관,6,2
GE삼성전기조명,127.1325907,36.46981193,신관동,전기/가정용품,조명기구,3,1
GS25/검상공단,127.0750962,36.43034387,검상동,대형유통점,편의점,3,1
GS25/공주교대점,127.1203698,36.44331488,금학동,대형유통점,편의점,3,1
GS25/공주금강점,127.1297838,36.47340023,신관동,대형유통점,편의점,3,1
GS25/공주우남점,127.1393678,36.47897759,월송동,대형유통점,편의점,3,1
GS25/공주우성점,127.0507864,36.47023987,우성면,대형유통점,편의점,12,3
GS25/공주의당점,127.1470337,36.49086517,의당면,대형유통점,편의점,11,3
GS25/공주장승마을점,127.0215443,36.55771792,사곡면,대형유통점,편의점,3,1
GS25/공주정안점,127.1218126,36.61143458,정안면,대형유통점,편의점,6,2
GS25/신공주전막점,127.1269801,36.47108953,신관동,대형유통점,편의점,3,1
GS25/월송2단지점,127.1559219,36.47853329,월송동,대형유통점,편의점,15,3
GS더프레시/공주신관점,127.1446174,36.47478365,신관동,슈퍼/마트,대형슈퍼,63,5
GS더프레시/공주점,127.134174,36.45553579,옥룡동,슈퍼/마트,대형슈퍼,170,5
JJ오토캠핑장,126.9652165,36.60282442,유구읍,레저/스포츠,캠프장,120,5
KG케미칼/남공주대리점,127.1228416,36.46289599,웅진동,쇼핑기타,농업용품관련,3,1
KT/공주지점,127.1498669,36.47606132,월송동,주요그룹,KT,42,4
LG전자베스트샵/공주점,127.133283,36.47110154,신관동,가전,LG,8,3
LG전자서비스센터/공주점,127.1331999,36.47110713,신관동,가전,LG,9,3
OCI스페셜티/공주공장,127.0600431,36.29833105,탄천면,업종별기업,제조업,114,5
OK무인텔,127.1322019,36.46861762,신관동,숙박,모텔/여관,17,4
PROVIDENCE,127.2518588,36.3608806,반포면,카페,카페기타,59,5
SK렌터카/공주대지점,127.1365903,36.4697564,신관동,자동차시설,렌트카,3,1
SK텔레콤/공주종동대리점 신관점,127.1425076,36.47417673,신관동,정보통신기기,SK텔레콤,3,1
SUBWAY/공주신관점,127.1413677,36.47331158,신관동,음식점,패스트푸드,24,4
SUBWAY/공주신관점,127.1413677,36.47331158,신관동,음식점,패스트푸드,49,4
THEJAJA,127.2527198,36.36779648,반포면,숙박,모텔/여관,3,1
가교리1구마을회관,127.0290437,36.53941449,사곡면,사회시설,회관,3,1
가나잔치,127.11912,36.43845432,금학동,음식점,한식,6,2
가든이화,127.0472926,36.48061576,사곡면,음식점,한식,6,2
가마솥국밥보쌈/공주중동점,127.123686,36.45375736,중학동,음식점,한식,6,2
가마치통닭/공주신관점,127.1380993,36.47298567,신관동,음식점,치킨,7,3
가보자순대국,126.9516183,36.55393819,유구읍,음식점,한식,3,1
가스원,127.0526544,36.34915856,이인면,업종별기업,전기가스업,3,1
가자펜션,127.2500812,36.36071394,반포면,숙박,펜션,6,2
가족관광농원,127.0614843,36.63402686,정안면,농/어업,농장/농원,3,1
가척리마을회관,127.0030758,36.31257911,탄천면,사회시설,회관,8,3
가화,127.2528032,36.36271373,반포면,음식점,한식,20,4
갈릴리수양관,127.0925345,36.60561915,정안면,종교,교회시설,694,5
감나무집/동학사점,127.251841,36.36517013,반포면,음식점,전문음식점,57,5
감성커피/공주대점,127.137873,36.47314647,신관동,카페,카페기타,14,3
갑사,127.1876423,36.36535193,계룡면,종교,절,1786,5
