목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
5.5닭갈비,127.257846124286,36.5146113905638,세종특별자치시,1.0,월요일
AK플라자/광명,126.8828338297375,37.41866320750575,경기도 광명시,1.0,월요일
CGV/김포운양,126.68412604991,37.654712776603,경기도 김포시,1.0,월요일
CGV/아산,127.00844655246328,36.7802337415048,충청남도 아산시,1.0,월요일
CU/다와한국영상대학교점,127.2086704689403,36.46308289892693,세종특별자치시,1.0,월요일
CU/세종펜타힐스점,127.30168364710762,36.48505524122053,세종특별자치시,1.0,월요일
GDR아카데미/세종대평점,127.27559176809083,36.472582340435295,세종특별자치시,1.0,월요일
GE삼성전기조명,127.132590698502,36.4698119286807,신관동,1.0,월요일
GS25/공주대신관점,127.13946827732168,36.46961722509722,신관동,1.0,월요일
GS25/공주정안점,127.12181260784,36.611434584761,정안면,1.0,월요일
GS25/동학사점,127.2377844505806,36.3580809492478,반포면,1.0,월요일
GS25/신도림비즈점,126.89166152290304,37.50218730704493,서울특별시 영등포구,1.0,월요일
GS25/신창코아루점,126.948753895954,36.7835291960917,충청남도 아산시,1.0,월요일
GS더프레시/대전도마점,127.37088905271088,36.32698838133663,대전광역시 서구,1.0,월요일
LG전자베스트샵/공주점,127.13328297171762,36.47110153996519,신관동,2.0,월요일
LG전자베스트샵/아산본점,127.020969978872,36.7773999855292,충청남도 아산시,1.0,월요일
PROVIDENCE,127.251858844365,36.360880597064,반포면,6.0,월요일
SG스크린골프/관평점,127.39203568889526,36.42573876478802,대전광역시 유성구,1.0,월요일
가마치통닭/대전목원대점,127.34071827379894,36.3304413942708,대전광역시 서구,1.0,월요일
가배서림,127.284784765064,36.42132333164,세종특별자치시,1.0,월요일
가족관광농원,127.06148426249086,36.63402685754011,정안면,1.0,월요일
가톨릭꽃동네대학교,127.40090319121768,36.52239161047637,충청북도 청주시 서원구,1.0,월요일
강변영양탕,127.086762628411,37.0008643654786,경기도 평택시,1.0,월요일
강촌,127.624234195871,37.8135804645867,강원특별자치도 춘천시,1.0,월요일
경성일번가/본점,127.3891025192661,36.34758724903666,대전광역시 서구,1.0,월요일
계룡산골프장,127.1908198824633,36.40964140486141,계룡면,2.0,월요일
계룡산쉴만한물가펜션,127.2553438,36.36136,반포면,1.0,월요일
계룡산의아침,127.23786011874,36.3574642372478,반포면,1.0,월요일
계룡산장추어탕,127.25147681476852,36.36495761958389,반포면,1.0,월요일
계룡입암리유적공원,127.27056141840052,36.24940221919193,충청남도 계룡시,1.0,월요일
고란사선착장,126.913836131584,36.293138062769,충청남도 부여군,2.0,월요일
고박사냉면초계국수/논산본점,127.09655217194737,36.20875388914799,충청남도 논산시,1.0,월요일
고창애풍천장어,127.16064392729066,36.45075870993093,옥룡동,2.0,월요일
골프존카운티/무주,127.6365539423434,35.83132187334319,전라북도 무주군,1.0,월요일
곰선생동태씨,127.1432595,36.4673465,신관동,7.0,월요일
곱이곱다/관평점,127.394031614364,36.4224041981695,대전광역시 유성구,1.0,월요일
공산성,127.12536916684,36.4644791615807,웅진동,830.0,월요일
공산성부추해물칼국수,127.122730512875,36.4644791462223,웅진동,6.0,월요일
공수원교회,127.020731386936,36.4391510214022,우성면,1.0,월요일
공주보석사우나,127.12573028965164,36.459563057766,웅진동,8.0,월요일
공주숲클라이밍짐,127.1400066413,36.476922271945,신관동,3.0,월요일
공주시립박찬호야구장,127.1306829,36.4838295,신관동,2.0,월요일
공주시보건소,127.12070298170936,36.45706331363746,중학동,19.0,월요일
공주의료원/응급실,127.10931508663712,36.45931299085176,웅진동,2.0,월요일
공주토실이쌀밤빵,127.322374598472,36.3744462524308,대전광역시 유성구,9.0,월요일
공주푸르메요양병원,127.090150568453,36.4093741302667,금학동,1.0,월요일
공주환경성건강센터,127.12639456013324,36.43055471497616,금학동,1.0,월요일
공차/세종소담점,127.299471593379,36.484999534647,세종특별자치시,1.0,월요일
관촉사,127.1132141419396,36.1881819382571,충청남도 논산시,4.0,월요일
광주한국병원,126.868806686723,35.1561828383294,광주광역시 서구,1.0,월요일
교촌치킨/옥룡점,127.133157035154,36.4562259393773,옥룡동,1.0,월요일
구이구이쪽갈비,127.428808190669,36.7162480865662,충청북도 청주시 청원구,1.0,월요일
국군복지단/럭키마트,127.1388792030712,37.38969622666403,경기도 성남시 분당구,1.0,월요일
국군중앙교회,126.97195389623757,37.529899874673646,서울특별시 용산구,1.0,월요일
국립법무병원,127.239109506606,36.413235669638,반포면,3.0,월요일
국립순천대학교,127.47956042661258,34.969704168764615,전라남도 순천시,1.0,월요일
국수정,127.13964138621144,36.47379231433297,신관동,1.0,월요일
국토연구원,127.30056573466366,36.49177257850312,세종특별자치시,1.0,월요일
군산공설시장,126.720292674584,35.983272828625,전라북도 군산시,1.0,월요일
굽네치킨/내수점,127.53487342686462,36.7227167783774,충청북도 청주시 청원구,1.0,월요일
궁전모텔,127.122980508946,36.4624238265659,웅진동,1.0,월요일
그때그때카페,127.107509716524,36.456535519405,웅진동,2.0,월요일
그리고스페셜티,127.172750860244,36.8071320763855,충청남도 천안시 동남구,1.0,월요일
그아줌마네,127.13837272071,36.4734430311176,신관동,2.0,월요일
금강6경(고마나루솔밭)/웅진지구1,127.103343334595,36.4662288339297,웅진동,1.0,월요일
금강공원,129.074864304073,35.2198927806866,부산광역시 동래구,2.0,월요일
금강베네치아,127.293614507483,36.4836803778223,세종특별자치시,1.0,월요일
금강신관공원/축구장,127.135896004456,36.4648125182224,신관동,6.0,월요일
금마성당,127.05122839109546,35.990410280512585,전라북도 익산시,1.0,월요일
금산산림문화타운,127.36909227923668,36.06776064204553,충청남도 금산군,2.0,월요일
금성낙지,127.12174586122973,36.46659640199815,웅진동,2.0,월요일
기품명가,127.12228387198203,36.46555200084303,웅진동,4.0,월요일
김포한강야생조류생태공원,126.688833534934,37.6574210165915,경기도 김포시,1.0,월요일
꾸드뱅,127.30874513703664,36.38670395418405,대전광역시 유성구,3.0,월요일
나사볼링센터/공주점,127.14919313923345,36.47639566629343,월송동,4.0,월요일
나주곰탕염대감,127.249230456679,36.4778841515127,세종특별자치시,1.0,월요일
남노갈비/본점,127.15316627755932,35.81917211500022,전라북도 전주시 완산구,1.0,월요일
남당리대하촌,126.473074557878,36.5395602496741,충청남도 홍성군,1.0,월요일
내고향묵집,127.2546879777189,36.39574949751163,반포면,1.0,월요일
내재,127.180003365902,36.445148351788,옥룡동,18.0,월요일
네일미떼,127.25852499165804,36.51464236276082,세종특별자치시,1.0,월요일
노랑통닭/충남공주점,127.1347511618934,36.472344153395326,신관동,3.0,월요일
노브랜드/세종조치원점,127.29205299627448,36.590798409607096,세종특별자치시,1.0,월요일
논두렁민물매운탕,127.02787773398,36.8472094312177,충청남도 아산시,2.0,월요일
다비치안경/공주산성시장점,127.124522649818,36.4590180539537,웅진동,1.0,월요일
다비치안경/둔산로데오점,127.389918435804,36.3476819164641,대전광역시 서구,1.0,월요일
다이소/계룡점,127.240938384689,36.2889070650936,충청남도 계룡시,1.0,월요일
다이소/대전용문점,127.39131865819267,36.33942977996846,대전광역시 서구,1.0,월요일
다이소/아산배방점,127.053749772239,36.7752810792294,충청남도 아산시,2.0,월요일
다이소/장성점,126.78020181755852,35.29504861066499,전라남도 장성군,1.0,월요일
다이소/천안성거점,127.19666051271156,36.86757985557001,충청남도 천안시 서북구,1.0,월요일
다이소/충남홍성본점,126.666266436112,36.6008141955411,충청남도 홍성군,1.0,월요일
달빛에구운고등어/관저점,127.33673907993608,36.29657995088029,대전광역시 서구,1.0,월요일
달샤브샤브,126.98431221830644,36.76946916904871,충청남도 아산시,1.0,월요일
달콩수제팥빙수단팥죽,127.33834048549454,36.35183309333261,대전광역시 유성구,1.0,월요일
닭발1번지/세종본점,127.2600092925966,36.48177578614521,세종특별자치시,1.0,월요일
대광해물칼국수,127.131758863354,36.4711651701614,신관동,2.0,월요일
대구파티마병원,128.624391459798,35.8843885195477,대구광역시 동구,1.0,월요일
대국환경기업,126.717943335667,37.3910650375768,인천광역시 남동구,1.0,월요일
대길환경,127.046821094851,36.408957261784,이인면,1.0,월요일
대덕구노인종합복지관,127.431447664099,36.3782655327643,대전광역시 대덕구,1.0,월요일
대왕산삼백숙본가,127.31426362971,36.3962005182095,대전광역시 유성구,1.0,월요일
대전대학교,127.460042013819,36.3362868203317,대전광역시 동구,2.0,월요일
대전산성교회,127.370098140351,36.3015072445414,대전광역시 서구,1.0,월요일
대전중앙시장,127.4331992453394,36.32955171258172,대전광역시 동구,1.0,월요일
대하촌,127.157199783154,36.4514530550745,옥룡동,3.0,월요일
